-6155.279 -6173.468 -6174.344
-6161.128 -6178.563 -6178.944
-6173.151 -6175.267 -6175.425
-6179.035 -6188.063 -6188.216
-6176.684 -6181.147 -6182.615
-6123.758 -6149.608 -6154.451
-6114.225 -6180.080 -6180.190
-6172.460 -6181.093 -6183.055
-6160.941 -6186.614 -6185.267
-6168.285 -6191.532 -6181.622
-6176.118 -6182.029 -6182.950
-6133.514 -6192.511 -6181.286
-6171.552 -6185.366 -6182.914
-5979.854 -6179.397 -6184.020
-6186.575 -6183.148 -6183.730
-6084.259 -6140.187 -6141.511
-6173.803 -6182.784 -6183.985
-6080.013 -6220.095 -6185.783
-6165.349 -6182.257 -6183.004
-6123.503 -6171.466 -6176.355
-6158.057 -6179.565 -6180.068
-6116.838 -6150.302 -6152.439
-6101.392 -6180.545 -6182.954
-6168.206 -6187.306 -6187.939
-6170.009 -6173.761 -6175.833
-6171.497 -6182.640 -6185.567
-5750.704 -6182.278 -6179.695
-6165.364 -6184.115 -6184.661
-6134.992 -6169.148 -6182.795
-6179.268 -6185.257 -6184.229
-6180.662 -6187.716 -6185.517
-6186.022 -6186.330 -6185.422
-6177.346 -6184.472 -6183.728
-6173.992 -6185.573 -6188.089
-6180.250 -6189.210 -6185.154
-6179.025 -6186.703 -6184.841
-6181.494 -6183.003 -6185.658
-6179.674 -6186.528 -6184.421
-6177.105 -6182.928 -6184.827
-6134.149 -6152.762 -6153.942
-6041.588 -6126.337 -6181.417
-6084.410 -6172.221 -6170.208
-6177.569 -6183.474 -6184.740
-6108.085 -6146.534 -6147.715
-6184.667 -6185.514 -6185.827
-6176.582 -6184.293 -6184.891
-6183.779 -6183.973 -6184.413
-6173.136 -6179.993 -6184.194
-6177.745 -6184.723 -6185.496
-6181.977 -6187.266 -6186.861
-6179.035 -6188.063 -6188.216
-6168.206 -6187.306 -6187.939
-6080.013 -6220.095 -6185.783
-6160.941 -6186.614 -6185.267
-6173.803 -6182.784 -6183.985
-6180.165 -6187.298 -6188.218
-6179.821 -6183.495 -6185.523
-6178.159 -6183.129 -6183.030
-6173.732 -6183.728 -6185.151
-6173.011 -6184.882 -6183.807
-6162.931 -6181.452 -6184.577
-6179.221 -6185.908 -6186.358
-6181.586 -6182.832 -6184.212
-6139.860 -6182.832 -6187.892
-6178.589 -6185.587 -6187.282
-6179.509 -6183.851 -6184.821
-6176.253 -6183.882 -6183.833
-6178.204 -6183.268 -6184.581
-6179.035 -6184.029 -6184.788
-6162.022 -6183.127 -6185.238
-6177.118 -6182.215 -6183.279
-6173.619 -6186.213 -6184.700
-6172.049 -6183.538 -6185.013
-6172.321 -6185.676 -6188.006
-6186.959 -6187.417 -6186.861
-6184.892 -6188.105 -6184.609
-6187.338 -6186.679 -6186.139
-6162.743 -6167.446 -6183.372
-6178.131 -6184.997 -6184.318
-6169.725 -6187.457 -6184.102
-6181.994 -6184.373 -6186.903
-6143.755 -6175.377 -6181.089
-6168.900 -6184.540 -6184.902
-6174.699 -6187.495 -6184.300
-6183.299 -6187.372 -6186.854
-6180.165 -6187.298 -6188.218
-6173.992 -6185.573 -6188.089
-6168.206 -6187.306 -6187.939
-6181.977 -6187.266 -6186.861
-6179.221 -6185.908 -6186.358
-6162.321 -6183.492 -6183.055
-6185.346 -6187.310 -6186.861
-6172.498 -6183.245 -6185.233
-6161.755 -6183.126 -6186.174
-6176.489 -6184.625 -6184.942
-6168.234 -6186.332 -6184.625
-6177.378 -6184.289 -6186.350
-6168.610 -6180.602 -6184.781
-6167.175 -6185.822 -6183.715
-6186.880 -6187.414 -6186.861
-6182.114 -6186.194 -6184.067
-6182.708 -6184.706 -6184.009
-6175.203 -6184.832 -6185.801
-6176.821 -6183.573 -6184.392
-6177.889 -6184.888 -6185.490
-6183.642 -6184.141 -6184.759
-6176.600 -6186.594 -6184.389
-6169.776 -6183.603 -6185.664
-6176.038 -6183.641 -6184.381
-6182.935 -6185.656 -6188.000
-6166.987 -6180.554 -6186.339
-5968.598 -6181.660 -6182.466
-6149.578 -6173.209 -6173.893
-6176.865 -6179.211 -6179.358
-6179.427 -6185.350 -6188.201
-6133.880 -6183.782 -6184.637
-6182.004 -6183.967 -6184.979
-6181.437 -6185.005 -6184.959
-6178.823 -6187.417 -6186.859
-6180.165 -6187.298 -6188.218
-6173.992 -6185.573 -6188.089
-6168.206 -6187.306 -6187.939
-6178.589 -6185.587 -6187.282
-6181.994 -6184.373 -6186.903
-6173.776 -6182.551 -6184.753
-6170.068 -6184.593 -6186.478
-6184.949 -6184.361 -6186.078
-6178.694 -6186.347 -6185.860
-6166.110 -6182.553 -6186.024
-6172.283 -6184.198 -6184.947
-6173.540 -6184.373 -6184.863
-6175.076 -6186.547 -6188.091
-6176.789 -6184.763 -6184.688
-6182.370 -6187.402 -6186.862
-6180.264 -6185.139 -6185.543
-6171.556 -6184.055 -6187.044
-6174.615 -6185.045 -6185.805
-6179.867 -6188.417 -6185.835
